,sin2_2theta,delta_m2,-2dllh_estimate_crit_0.5,-2dllh_estimate_crit_0.6,-2dllh_estimate_crit_0.7,-2dllh_estimate_crit_0.8,-2dllh_estimate_crit_0.85,-2dllh_estimate_crit_0.9,-2dllh_estimate_crit_0.95,-2dllh_estimate_crit_0.97,-2dllh_estimate_crit_0.99
753,0.2807216203941176,2.043359717856942,0.20236065238714218,0.5063607215881347,1.2798954725265497,1.859899544715882,2.337833929061889,2.6502219915390017,3.336050522327421,4.785709438323976,5.739902515411382
754,0.2807216203941176,2.592943797404667,0.476412370800972,0.7709606766700744,1.589549386501312,2.4614109039306644,3.249356782436371,3.807864117622376,5.106182098388669,6.586191210746765,7.408480882644657
755,0.2807216203941176,3.2903445623126686,0.009126845747232437,0.28435669541358943,0.7069095253944396,1.5384231805801396,2.007250308990478,2.1662295818328867,3.4987589478492733,3.941041893959046,4.562519907951356
756,0.2807216203941176,4.1753189365604015,0.380319744348526,0.6872074007987976,1.250919473171234,1.7922272682189944,2.1531356573104854,2.3005029678344737,3.4243228912353514,3.9025671768188483,5.023689689636244
757,0.2807216203941176,5.298316906283708,1.094224750995636,1.2975215196609498,1.435094630718231,1.8245475292205813,2.1369955182075495,2.575257277488709,2.916439580917358,3.0358820295333864,4.767467327117924
758,0.2807216203941176,6.7233575364993365,0.7551665008068085,0.8567715764045715,1.0107670366764068,1.4715234518051148,1.7705506742000579,2.113347172737122,2.5560064315795894,3.715967576503754,4.172950491905214
759,0.2807216203941176,8.531678524172808,0.7186879217624664,0.8621403098106384,1.2364273071289062,1.6186227560043338,1.9159940004348754,2.5508422613143926,2.6697826981544495,3.2132816600799563,3.603593256473547
760,0.2807216203941176,10.826367338740546,0.08535001799464226,0.23212082386016844,0.346987399458885,0.575659191608429,0.8012280404567715,1.111083197593689,1.4605393171310421,1.7585442721843725,2.6702701759338394
761,0.2807216203941176,13.73823795883263,-0.12949899956583977,0.059875571727752666,0.2804391503334045,0.46975040435791016,0.49495469182729696,0.7255589008331299,0.8636725038290023,0.9457842522859573,1.044361125230791
762,0.2807216203941176,17.43328822199988,-0.6488669216632843,-0.26265814900398254,0.08645287156105033,0.3284427642822266,0.4665949806571006,0.5602854967117311,0.7384041279554365,0.851992537379265,1.2177791953086883
763,0.2807216203941176,22.122162910704493,0.08092270791530609,0.36269762516021725,0.6075811743736267,0.9491541385650635,0.9784556716680525,1.0839241266250612,1.2918673872947692,1.5672325682640078,2.5539601254463222
764,0.2807216203941176,28.072162039411772,-3.2461776733398438,-1.3559276819229127,-1.0901866912841798,-0.8805103063583374,-0.8390140771865845,-0.7401321411132812,-0.6782597213983537,-0.6004096280038351,-0.1621584666520355
765,0.2807216203941176,35.62247890262442,-0.15321150422096252,0.045981516689062085,0.2203760802745819,0.45124728083610544,0.539333170652389,0.7060631632804872,0.7926227778196334,0.8143571180105209,0.8297740322351463
766,0.2807216203941176,45.20353656360243,0.5433083474636078,0.638427734375,0.7437272071838379,0.7991409301757812,0.8745124995708464,0.9402389228343966,1.0308689713478087,1.080586805343628,1.133362518548967
767,0.2807216203941176,57.36152510448679,0.04107062518596649,0.08529160618782043,0.16791085451841353,0.25912974476814277,0.342564596235752,0.4647086322307594,0.721815064549446,0.7855248165130616,0.8448276835680015
768,0.2807216203941176,72.7895384398315,0.5540742576122284,0.6373059272766113,0.7361689567565918,0.7830448865890504,0.8360241383314132,0.8837077975273139,1.0142571866512298,1.0336505603790285,1.091721971035004
769,0.2807216203941176,92.36708571873861,0.20730969309806824,0.28298873901367183,0.41478671729564665,0.5159079432487488,0.5674496740102767,0.6244133651256562,0.7406411588191986,0.7531859946250916,0.7962949544191361
770,0.2807216203941176,117.21022975334806,0.17094112187623978,0.17875500321388244,0.19173839688301086,0.20502259135246279,0.20937358513474463,0.2191314235329628,0.22267961427569388,0.2253788021206856,0.23509197741746904
771,0.2807216203941176,148.73521072935117,-0.4689316600561142,-0.4015437066555023,-0.3146995544433594,-0.21812704205512998,-0.18570641726255424,-0.1358012713491915,-0.072823703289032,-0.05202985934913156,-0.008145760563202174
772,0.2807216203941176,188.73918221350976,-0.23469099402427673,-0.20353305339813232,-0.17790036648511887,-0.11607608646154403,-0.08426072448492056,-0.052185786515474265,-0.00829123971052472,0.009783360250294273,0.08873036473989489
773,0.2807216203941176,239.5026619987486,-0.44480468332767487,-0.410040420293808,-0.3476717442274094,-0.27440182566642757,-0.033251794893294655,-0.004215956293045586,0.11569971293210976,0.15781289502978324,0.16512125119566923
774,0.2807216203941176,303.9195382313198,-0.31419599056243896,-0.20620588660240174,-0.09012694805860529,0.10303534716367722,0.11166880168020724,0.12421700134873391,0.13886981084942815,0.15505067825317384,0.16307147160172467
775,0.2807216203941176,385.6620421163472,-0.48653215169906616,-0.42320625185966493,-0.24351765066385272,-0.12754166126251218,-0.09651559628546254,0.010231623984873324,0.024677660223096608,0.02799520608037711,0.04801006946712736
776,0.2807216203941176,489.3900918477494,-0.3570108413696289,-0.24128000140190128,0.028264825418591467,0.08245073407888413,0.11001425087451931,0.12236547619104386,0.1512856602668762,0.17105939760804179,0.18271604120731366
777,0.2807216203941176,621.0169418915616,0.05565102584660053,0.08623732328414917,0.1082853578031063,0.6378050446510315,0.6806020647287369,0.6920008182525635,0.7200520187616348,0.7249467837810516,0.7440100824832918
778,0.2807216203941176,788.0462815669912,0.4777877628803253,0.5147065162658692,0.5407426834106446,0.5709511637687683,0.5909745007753372,0.6033414304256439,0.6566884845495223,0.6839712899923325,0.7961761003732687
779,0.2807216203941176,1000.0,0.2219853550195694,0.23509288728237152,0.2864282548427582,0.3322707414627075,0.346997383236885,0.3767547696828843,0.4635262623429298,0.479476700425148,0.5091535842418679
780,0.38566204211634725,1.0,0.2104848399758339,0.38744181394577026,0.6749950706958769,1.3188294649124148,1.7284428715705824,2.677556514739991,3.8118401408195495,4.004073510169988,9.070585069656376
781,0.38566204211634725,1.2689610031679222,0.18770933151245117,0.5383170962333679,1.0183130264282225,1.9039396762847907,2.811449790000915,3.5111628532409678,4.318220448493957,4.924854836463931,7.1370932674407985
782,0.38566204211634725,1.6102620275609394,0.12178263813257217,0.48259667754173274,1.1982150673866265,2.1987180233001715,2.7573754191398616,3.5799795150756855,4.142343163490295,4.473440856933594,5.794903001785285
783,0.38566204211634725,2.043359717856942,0.17277974635362625,0.46376898884773254,0.6321975469589233,1.1952073097229003,1.2891131341457367,2.0839913129806527,3.375806879997251,5.288365211486817,7.892482614517215
784,0.38566204211634725,2.592943797404667,0.2969590872526169,1.2423931121826173,1.574924087524414,2.4875233173370366,2.9392245769500733,3.230371284484865,4.2894011497497555,4.89769805431366,6.744646329879772
785,0.38566204211634725,3.2903445623126686,0.491091787815094,0.5608315587043762,0.7967680215835571,1.318263053894043,1.719528776407241,2.7791968107223513,3.387813246250152,4.0775217342376715,5.232033524513245
786,0.38566204211634725,4.1753189365604015,0.8402380049228668,1.0473731756210327,1.2603348016738891,1.5199541807174684,1.6608519434928875,2.2756698369979858,2.6255937099456723,4.810240592956544,5.339190335273751
787,0.38566204211634725,5.298316906283708,0.8508458435535431,1.0248764157295225,1.3688023090362547,1.7195585489273073,2.078827655315399,2.351861095428468,2.9958761811256402,3.538221454620362,4.616883420944219
788,0.38566204211634725,6.7233575364993365,0.6225210130214691,0.6832629084587097,0.9320686876773834,1.2224258899688722,1.400705289840698,1.5866713643074053,1.8725610435009,2.094708104133606,2.250402238368994
789,0.38566204211634725,8.531678524172808,-0.2274347022175789,0.10854812711477275,0.47029434144496907,0.8562269210815432,1.0103444695472714,1.3632746100425726,2.5598648190498348,2.903274552822113,3.7996866059303325
790,0.38566204211634725,10.826367338740546,-0.13291583582758904,-0.05115985870361333,0.0939425662159919,0.48691511154174816,0.6476383566856381,0.7860988616943361,0.963381278514862,1.0812620043754577,1.1596231079101564
791,0.38566204211634725,13.73823795883263,-1.202240765094757,-0.963410246372223,-0.8232029676437378,-0.6656441807746887,-0.467030163109304,0.011547379568219222,0.34899644702672933,0.5671427994966507,0.6888914781808858
792,0.38566204211634725,17.43328822199988,-1.0014659464359283,-0.8023645639419555,-0.717662113904953,-0.6041049838066099,-0.4465165436267854,-0.38043443858623494,0.1978656649589533,0.6753305107355119,0.8275220644474032
793,0.38566204211634725,22.122162910704493,-0.5381272733211517,-0.3901426017284394,-0.26947576701641085,0.5625759601593018,0.8368394881486874,1.2598793506622332,1.551546251773834,1.698411067724228,1.8759411072731036
794,0.38566204211634725,28.072162039411772,0.12988001853227615,0.20365644991397858,0.2534589052200317,0.3095375597476959,0.3482209846377372,0.3692407101392747,0.4497098118066787,0.4737544322013855,0.4849970516562464
795,0.38566204211634725,35.62247890262442,0.3168800473213196,0.34944121837615966,0.40068040788173676,0.4707992374897003,0.594105178117752,0.6773588657379152,0.780710983276367,0.8868472039699554,0.9574030572175982
796,0.38566204211634725,45.20353656360243,0.07494386658072472,0.1844429314136505,0.27903064787387843,0.34182546734809877,0.3756776809692382,0.4517769902944565,0.5069747060537338,0.5793655133247376,0.696073268055916
